"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.6.20"
"21187",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21189",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"21191",1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0
"21193",0,0,0,0,0,0,0,0,0,0,1,2,0,3,8,2,3
"21195",0,0,0,0,0,0,0,0,0,0,1,4,1,5,2,5,10
"21197",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21199",3,0,0,0,0,0,0,0,2,1,8,20,5,7,0,2,5
"21201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21203",1,0,0,0,0,0,0,0,0,0,1,8,1,0,2,0,0
"21205",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0
"21207",0,0,0,0,0,0,0,0,0,0,1,7,8,0,1,1,4
"21209",1,0,0,0,0,0,0,0,0,3,8,10,1,2,0,9,0
"21211",11,0,0,0,0,0,0,0,0,1,0,18,4,5,5,21,24
"21213",5,0,0,0,0,0,0,0,1,2,9,5,5,2,7,1,7
"21215",0,0,0,0,0,0,0,0,2,0,0,6,1,1,5,1,0
"21217",1,0,0,0,0,0,0,0,0,2,0,2,0,4,0,1,0
"21219",0,0,0,0,0,0,0,0,0,0,1,7,1,3,1,2,1
"21221",0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0
"21223",2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"21225",0,0,0,0,0,0,0,0,0,3,0,2,3,0,1,1,0
"21227",78,0,0,0,0,0,0,0,15,2,3,32,60,151,163,211,191
"21229",0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0
"21231",0,0,0,0,0,0,0,0,0,2,0,3,1,1,1,0,0
"21233",0,0,0,0,0,0,0,0,0,1,2,6,4,8,4,4,3
"21235",0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,1,1
"21237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21239",6,0,0,0,0,0,0,0,0,3,6,7,1,0,0,2,0
"22001",27,0,0,0,0,0,0,0,2,37,43,22,10,16,6,15,111
"22003",51,0,0,0,0,0,0,0,2,13,43,16,5,11,0,0,41
"22005",23,0,0,0,0,0,0,1,35,125,197,80,77,61,81,44,61
"22007",8,0,0,0,0,0,0,0,2,18,64,39,28,26,25,27,1
"22009",7,0,0,0,0,0,0,0,3,16,26,19,5,2,2,3,18
"22011",4,0,0,0,0,0,0,0,2,3,18,5,7,2,6,3,6
"22013",52,0,0,0,0,0,0,0,1,5,11,20,29,7,4,0,7
"22015",32,0,0,0,0,0,0,1,11,51,83,61,34,36,23,13,35
"22017",381,0,0,0,0,0,0,4,36,202,514,341,213,187,142,145,128
"22019",46,0,0,0,0,0,0,0,5,60,121,87,61,43,93,26,25
"22021",1,0,0,0,0,0,0,0,0,0,13,2,0,2,23,8,2
"22023",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"22025",6,0,0,0,0,0,0,0,1,2,10,8,3,1,21,40,20
"22027",2,0,0,0,0,0,0,0,2,6,22,11,9,3,5,0,0
"22029",12,0,0,0,0,0,0,0,0,3,8,8,7,6,9,2,14
"22031",10,0,0,0,0,0,0,0,6,24,59,41,38,21,13,13,11
"22033",225,0,0,0,0,0,0,0,58,170,664,403,265,227,388,270,700
"22035",16,0,0,0,0,0,0,0,0,1,0,0,0,7,1,15,22
"22037",5,0,0,0,0,0,0,0,0,9,30,38,24,17,13,9,39
"22039",20,0,0,0,0,0,0,0,2,8,13,16,4,3,17,3,1
"22041",13,0,0,0,0,0,0,0,0,5,23,21,38,34,19,68,66
"22043",4,0,0,0,0,0,0,0,1,1,8,1,0,1,5,1,4
"22045",30,0,0,0,0,0,0,0,2,34,53,59,47,52,27,13,71
"22047",13,0,0,0,0,0,0,0,14,21,125,93,28,162,41,20,24
"22049",7,0,0,0,0,0,0,0,0,1,4,4,6,15,18,19,8
"22051",137,0,0,0,0,0,1,34,258,900,2729,1266,614,333,356,298,306
"22053",2,0,0,0,0,0,0,0,0,5,20,22,10,4,4,3,3
"22055",32,0,0,0,0,0,0,0,12,106,154,91,66,17,27,39,93
"22057",16,0,0,0,0,0,0,2,14,58,248,164,90,59,51,29,35
"22059",5,0,0,0,0,0,0,0,0,2,4,7,1,7,6,6,7
"22061",11,0,0,0,0,0,0,0,2,10,10,19,11,28,16,11,15
"22063",10,0,0,0,0,0,0,0,6,17,71,35,29,27,62,36,73
"22065",27,0,0,0,0,0,0,0,0,1,1,0,2,3,1,6,13
"22067",17,0,0,0,0,0,0,0,0,2,18,12,7,9,7,12,26
"22069",42,0,0,0,0,0,0,0,2,0,22,18,16,19,13,10,3
"22071",75,0,0,0,0,0,4,132,539,1159,3108,776,451,211,195,143,151
"22073",75,0,0,0,0,0,0,0,7,50,207,123,145,119,142,63,110
"22075",1,0,0,0,0,0,0,0,8,29,78,27,22,4,13,10,5
"22077",8,0,0,0,0,0,0,0,0,7,19,23,31,18,16,24,35
"22079",87,0,0,0,0,0,0,0,10,48,71,46,38,42,53,68,128
"22081",1,0,0,0,0,0,0,0,0,1,1,11,8,2,11,2,7
"22083",5,0,0,0,0,0,0,0,1,1,11,7,18,15,31,19,5
"22085",9,0,0,0,0,0,0,0,0,2,5,3,3,3,1,2,11
"22087",5,0,0,0,0,0,0,2,17,52,218,88,51,24,50,9,5
"22089",3,0,0,0,0,0,0,3,12,56,239,150,56,38,35,7,19
"22091",2,0,0,0,0,0,0,0,0,1,9,4,7,7,4,6,3
"22093",5,0,0,0,0,0,0,0,9,68,99,32,20,12,14,2,28
"22095",7,0,0,0,0,0,0,1,20,83,311,147,124,72,24,22,27
"22097",7,0,0,0,0,0,0,0,3,28,29,55,21,34,28,17,22
"22099",12,0,0,0,0,0,0,0,0,32,69,67,25,33,21,17,11
"22101",11,0,0,0,0,0,0,0,2,20,54,53,31,22,30,39,26
"22103",40,0,0,0,0,0,0,6,46,168,480,198,169,117,185,108,82
