"X2020.01.27.cases","X2020.02.03.cases","X2020.02.10.cases","X2020.02.17.cases","X2020.02.24.cases","X2020.03.02.cases","X2020.03.09.cases","X2020.03.16.cases","X2020.03.23.cases","X2020.03.30.cases","X2020.04.06.cases","X2020.04.13.cases","X2020.04.20.cases","X2020.04.27.cases","X2020.05.04.cases","X2020.05.11.cases","X2020.05.18.cases","X2020.01.27.deaths","X2020.02.03.deaths","X2020.02.10.deaths","X2020.02.17.deaths","X2020.02.24.deaths","X2020.03.02.deaths","X2020.03.09.deaths","X2020.03.16.deaths","X2020.03.23.deaths","X2020.03.30.deaths","X2020.04.06.deaths","X2020.04.13.deaths","X2020.04.20.deaths","X2020.04.27.deaths","X2020.05.04.deaths","X2020.05.11.deaths","X2020.05.18.deaths"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,5,24,23,25,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,4,9,3,7,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,4,5,2,4,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,6,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,1,1,10,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,12,9,64,113,160,187,178,261,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,10
0,0,0,0,0,0,0,0,1,3,5,6,13,8,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,17,56,94,86,84,88,115,173,188,0,0,0,0,0,0,0,0,0,3,7,11,9,10,4,12,9
0,0,0,0,0,0,0,0,0,1,2,0,5,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,1,1,1,2,7,8,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,1,6,131,551,743,587,616,821,1294,1237,1352,0,0,0,0,0,0,0,0,2,3,26,21,23,47,46,82,74
0,0,0,0,0,0,0,0,0,7,14,19,16,40,45,57,53,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11,10,3
0,0,0,0,0,0,0,0,25,63,122,135,128,155,172,206,279,0,0,0,0,0,0,0,0,0,0,1,7,3,7,4,15,11
0,0,0,0,0,0,1,3,20,163,228,253,273,223,182,256,223,0,0,0,0,0,0,0,0,0,6,7,16,29,18,13,45,23
0,0,0,0,0,0,3,2,12,45,45,61,88,103,109,152,82,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,6,12
0,0,0,0,0,0,0,0,1,1,3,5,10,10,4,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,16,31,15,6,6,16,87,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
0,0,0,0,0,0,0,0,1,11,2,3,10,26,57,86,209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,4,6,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,37,4,17,3,32,14,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,6,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
